map_id,opportunity_districts,democrat_count,republican_count,median_margin,num_districts,X Value,Y Value
331,3,6,8,-0.05,14,169.9,215.97
332,2,6,8,-0.05,14,131.5,205.21
333,3,5,9,-0.06,14,152.54,155.81
334,3,6,8,-0.05,14,169.9,215.97
335,2,4,10,-0.06,14,116.7,159.88
336,4,6,8,-0.04,14,179.94,218.26
337,3,5,9,-0.05,14,151.34,159.37
338,2,5,9,-0.08,14,140.91,104.45
339,2,4,10,-0.08,14,145.17,113.84
340,3,5,9,-0.08,14,186.97,112.74
341,2,6,8,-0.05,14,131.5,205.21
342,3,7,7,-0.03,14,171.41,232.53
343,3,5,9,-0.14,14,171.51,126.57
344,3,5,9,-0.06,14,152.54,155.81
345,3,5,9,-0.11,14,180.27,120.2
346,3,4,10,-0.12,14,183.47,132.33
347,2,6,8,-0.01,14,125.11,219.18
348,3,5,9,-0.1,14,182.7,117.87
349,3,5,9,-0.08,14,186.97,112.74
350,4,6,8,-0.07,14,225.03,168.09
351,2,6,8,-0.08,14,168.95,158.44
352,4,6,8,-0.06,14,184.19,210.86
353,2,5,9,-0.11,14,134.1,115.3
354,3,4,10,-0.09,14,189.68,122.71
355,1,5,9,-0.11,14,149.55,116.65
356,3,4,10,-0.12,14,183.47,132.33
357,3,5,9,-0.08,14,186.97,112.74
358,5,6,8,-0.03,14,190.5,219.21
359,3,6,8,-0.06,14,172.0,212.33
360,2,5,9,-0.1,14,136.61,111.71
361,3,6,8,-0.06,14,172.0,212.33
362,2,5,9,-0.07,14,142.75,100.8
363,3,5,9,-0.05,14,151.34,159.37
364,3,7,7,-0.04,14,173.57,228.91
365,2,5,9,-0.03,14,107.5,157.5
366,3,5,9,-0.12,14,177.61,122.33
367,3,6,8,-0.03,14,166.06,223.28
368,2,5,9,-0.06,14,110.4,148.69
369,4,6,8,-0.09,14,221.87,172.18
370,3,7,7,-0.02,14,169.36,236.17
371,2,5,9,-0.05,14,109.73,151.77
372,3,5,9,-0.1,14,182.7,117.87
373,4,7,7,-0.03,14,183.04,232.38
374,3,5,9,-0.05,14,151.34,159.37
375,2,5,9,-0.02,14,105.29,159.75
376,2,5,9,-0.05,14,109.73,151.77
377,3,7,7,-0.02,14,169.36,236.17
378,2,5,9,-0.05,14,109.73,151.77
379,2,5,9,-0.07,14,142.75,100.8
380,2,5,9,-0.07,14,142.75,100.8
381,3,8,6,0.01,14,169.11,255.84
382,3,5,9,-0.05,14,151.34,159.37
383,3,6,8,-0.06,14,172.0,212.33
384,3,6,8,-0.05,14,169.9,215.97
385,2,4,10,-0.11,14,140.23,124.99
386,3,5,9,-0.07,14,188.85,110.0
387,4,5,9,-0.12,14,194.04,123.32
388,4,5,9,-0.09,14,201.69,112.7
389,2,5,9,-0.08,14,140.91,104.45
390,2,6,8,-0.05,14,131.5,205.21
391,4,5,9,-0.08,14,203.89,110.58
392,1,6,8,-0.06,14,150.22,207.67
393,2,5,9,-0.05,14,109.73,151.77
394,4,6,8,-0.05,14,182.01,214.55
395,2,6,8,-0.04,14,129.73,208.68
396,2,5,9,-0.09,14,138.87,108.09
397,3,5,9,-0.06,14,152.54,155.81
398,2,5,9,-0.05,14,109.73,151.77
399,3,5,9,-0.09,14,184.92,115.37
400,3,6,8,-0.04,14,167.92,219.62
401,4,7,7,-0.05,14,187.59,225.13
402,3,5,9,-0.1,14,182.7,117.87
403,2,5,9,-0.05,14,109.73,151.77
404,2,5,9,-0.03,14,107.5,157.5
405,5,6,8,-0.04,14,192.55,215.41
406,2,5,9,-0.1,14,136.61,111.71
407,3,6,8,-0.06,14,172.0,212.33
408,3,5,9,-0.08,14,186.97,112.74
409,3,5,9,-0.1,14,182.7,117.87
410,2,5,9,-0.05,14,109.73,151.77
411,3,5,9,-0.09,14,184.92,115.37
412,3,5,9,-0.09,14,184.92,115.37
413,2,6,8,-0.09,14,167.74,161.35
414,2,5,9,-0.07,14,142.75,100.8
415,3,6,8,-0.03,14,166.06,223.28
416,3,6,8,-0.09,14,208.55,172.69
417,4,5,9,-0.04,14,164.23,159.85
418,3,4,10,-0.09,14,189.68,122.71
419,2,6,8,-0.05,14,131.5,205.21
420,4,6,8,-0.07,14,225.03,168.09
421,2,5,9,-0.09,14,138.87,108.09
422,4,5,9,-0.07,14,205.94,108.32
423,2,5,9,-0.05,14,109.73,151.77
424,4,5,9,-0.08,14,203.89,110.58
425,4,6,8,-0.06,14,184.19,210.86
426,2,6,8,-0.11,14,162.0,168.45
427,4,7,7,-0.02,14,180.91,236.03
428,3,5,9,-0.11,14,180.27,120.2
429,2,4,10,-0.08,14,145.17,113.84
430,3,7,7,-0.02,14,169.36,236.17
431,2,6,8,-0.07,14,169.87,155.53
432,2,5,9,-0.11,14,134.1,115.3
433,3,6,8,-0.04,14,167.92,219.62
434,2,6,8,-0.07,14,169.87,155.53
435,3,6,8,-0.05,14,169.9,215.97
436,3,6,8,-0.04,14,167.92,219.62
437,3,5,9,-0.04,14,150.21,162.96
438,2,5,9,-0.08,14,140.91,104.45
439,4,5,9,-0.06,14,167.11,152.35
440,2,5,9,-0.05,14,109.73,151.77
441,3,5,9,-0.06,14,152.54,155.81
442,3,7,7,-0.03,14,171.41,232.53
443,3,5,9,-0.1,14,182.7,117.87
444,3,6,8,-0.06,14,172.0,212.33
445,3,5,9,-0.09,14,184.92,115.37
446,3,5,9,-0.1,14,182.7,117.87
447,3,5,9,-0.06,14,152.54,155.81
448,2,6,8,-0.05,14,131.5,205.21
449,3,6,8,-0.06,14,172.0,212.33
450,3,5,9,-0.02,14,148.17,170.18
451,2,5,9,-0.1,14,136.61,111.71
452,3,5,9,-0.05,14,151.34,159.37
453,2,5,9,-0.11,14,134.1,115.3
454,2,5,9,-0.11,14,134.1,115.3
455,2,5,9,-0.09,14,138.87,108.09
456,2,6,8,-0.07,14,169.87,155.53
457,2,5,9,-0.06,14,110.4,148.69
458,3,4,10,-0.1,14,187.84,125.0
459,2,6,8,-0.09,14,167.74,161.35
460,2,5,9,-0.07,14,142.75,100.8
461,2,4,10,-0.11,14,140.23,124.99
462,2,5,9,-0.07,14,142.75,100.8
463,2,5,9,-0.06,14,110.4,148.69
464,3,5,9,-0.02,14,148.17,170.18
465,3,5,9,-0.06,14,152.54,155.81
