Map,District,index,"(2020, <Office.PRES: 'Presidential'>, <Party.REP: 'Republican'>)","(2020, <Office.PRES: 'Presidential'>, <Party.DEM: 'Democratic'>)",G20PRELJOR,C20PRERTRU,C20PREDBID,C20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,S20USSRLOE,S20USSRCOL,S20USSRGRA,S20USSRJAC,S20USSRTAY,S20USSRJOH,S20USSDWAR,S20USSDJAC,S20USSDLIE,S20USSDJOH,S20USSDJAM,S20USSDSLA,S20USSDWIN,S20USSDTAR,S20USSLSLO,S20USSGFOR,S20USSIBUC,S20USSIBAR,S20USSISTO,S20USSIGRE,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL,R21USSRPER,R21USSDOSS,R21USSRLOE,R21USSDWAR,R21PSCRMCD,R21PSCDBLA,RacialDemographic.TOTAL,RacialDemographic.HISPA,RacialDemographic.WHITE,RacialDemographic.BLACK,RacialDemographic.NATIV,RacialDemographic.ASIAN,RacialDemographic.HAWAI,RacialDemographic.OTHER,"(2016, <Office.PRES: 'Presidential'>, <Party.DEM: 'Democratic'>)","(2016, <Office.PRES: 'Presidential'>, <Party.REP: 'Republican'>)",area,perimeter
2,3,2266801.293357267,263380,75133,4100,263186,75056,4103,258222,71813,8785,129416,106433,6263,4823,4607,4157,41039,11368,8134,3282,2869,1801,1256,943,2757,1040,1336,1069,692,1412,254418,65747,11605,250282,66851,10768,228893,66513,228321,67042,228284,63475,761763.5331476019,92339.90945652116,584287.840537935,45393.06332898982,1706.126489836367,7371.384636296267,252.31893527121656,28116.32712837399,54778.52815216974,214140.68991158687,1.2440489416265628,7.595357617021164
2,4,2094158.6020019555,69915,275637,3519,70165,276257,3553,68547,269412,7641,37057,23932,1716,1853,1136,1109,195252,34616,9043,11624,11958,5242,2768,1410,1439,958,968,1048,1849,777,68316,262150,11974,67143,263935,9184,60809,262688,59891,263742,62193,258633,778861.1147147573,78577.03612456506,130488.83899126251,521246.8324451878,1406.5648044659422,20165.66724981712,236.01614264859634,22170.846914628364,227172.92681183404,59838.01459524012,0.15083843932608354,4.712714955276058
2,5,1733603.3889392132,197353,199711,6445,197242,199025,6471,203477,187067,10175,115090,70119,3863,4110,2573,2905,124608,24380,15675,8150,5932,3473,2251,1515,3975,1612,1682,1270,1111,1194,203443,172461,17756,201542,174437,15414,188609,178071,185422,181087,192439,169839,768080.7305373,92792.73144892628,423539.42865067924,101733.65720869348,1027.7889269724685,109949.05661901625,285.90205404878384,32992.76183473955,133492.02917259233,175734.62430975813,0.08710375602713626,3.8173453194360936
2,6,1949532.69709785,267578,106589,5508,267571,106456,5500,267078,99428,10136,120371,131374,4332,3935,2835,2908,64041,14161,9585,4062,2974,2048,1285,913,3584,1187,1348,929,865,1024,264978,90393,15411,262849,91520,14054,243238,93937,241151,95900,245245,88520,756750.2017250208,110947.46509058742,521533.5024086076,40307.80487087972,1539.1481520035625,50940.30655105888,298.87256036222226,27951.78705061494,64677.17321419596,214616.24442409343,0.6403773529369473,8.237552895048417
2,7,2798236.2657162836,200941,107873,2801,201011,107864,2807,199391,102138,5963,90829,86260,5609,3432,5825,3536,53453,21726,7423,6924,5920,2704,1633,1379,1661,743,1340,1107,582,994,196551,97442,7847,192201,98569,6891,176292,95983,176292,96078,175756,93177,753528.3195123366,57758.1507699216,429703.1335031204,232582.75684289678,1690.8404342027632,6935.868493112517,309.4781078333429,22374.318824406557,90378.52456246484,172170.72969859903,3.9048772231484485,18.838031740237362
2,8,2317130.113394941,95913,281287,5198,95740,280610,5193,105221,266795,8052,60425,34356,1752,2314,1287,1270,200797,25461,15906,8718,7578,4144,2173,1763,3027,1668,1392,962,1105,855,106860,249784,15966,105815,251752,12944,100599,257379,96819,261051,103895,248639,774348.5215478266,100785.8032921011,372838.1885216513,198907.42285174175,1120.8823865666727,65494.490989834834,292.0417588128656,30388.633132347415,215432.9647039962,84213.83123103883,0.05405301322464698,2.80902643544815
2,9,2239338.0024217274,194009,158074,3954,194024,158069,3957,193696,151058,7300,101325,76649,3606,2909,3760,2767,94936,22088,7182,6494,6793,2686,1996,9608,2000,882,1257,1032,692,877,190981,144810,10306,188931,144938,8759,174516,143543,173998,144156,175161,138597,775419.2461670238,43706.25760475721,400555.6957559505,285484.588634192,1588.6801905367265,13677.669204237432,787.6603372074323,26853.479807089585,127900.09502249295,166709.7878220172,2.6737633015140103,12.474001926317312
2,10,1069199.1371317166,80479,227797,3576,80475,227873,3579,79522,222224,7546,41621,27095,2788,2354,1212,1956,147031,32473,11206,12786,9226,4290,2800,1400,1898,1169,1153,1103,902,848,78862,214023,12360,77941,215306,9531,69336,214663,68128,215850,70870,210404,749850.8978035325,159547.27130642347,160984.6759509892,319445.91695996997,1364.8620795069519,78530.04568603483,273.88575622439254,24526.038885965067,176535.58086376273,72188.29758096817,0.0727799469985669,2.1239059869465344
2,11,2417198.7069182955,175644,147325,4538,175644,147333,4538,173527,142528,7659,90939,64764,4269,3602,4605,3729,93626,20715,8629,6958,5652,2896,1426,1174,2488,1055,1482,1162,853,949,173026,133897,11715,170674,134708,9921,156930,134141,156620,134452,157889,129738,751865.7030659466,57114.767714806796,419374.88708714,222307.31033450062,1750.0013371620485,16856.366968592596,1215.3729337429108,30022.40440659287,113379.0,143837.0,1.6761601509875022,11.808788754145302
2,12,972968.523253317,123257,247990,3572,123379,248154,3593,120952,242722,7604,67545,43534,2506,2162,1760,1653,174597,33232,8408,10471,10308,4473,2607,1252,1711,793,1041,950,1323,781,120105,237158,11457,118491,238153,9208,106289,234835,105421,235785,107355,231205,766702.2921393677,54046.00462236458,226680.1067974884,438165.7351534276,1313.0124905503214,15082.445044513028,375.7030550643142,26417.98265707965,190695.31006421027,111972.7818595908,0.3296343181872525,6.142138169910702
